Name;Year;Type;Categorie;Sexe;Bow;Value
Junior Femme Arc Classique;2012;Federal;J;F;CL;5846
Junior Homme Arc Classique;2012;Federal;J;H;CL;5847
Senior Femme Arc Classique;2012;Federal;S;F;CL;5848
Senior Homme Arc Classique;2012;Federal;S;H;CL;5849
Vétéran Femme Arc Classique;2012;Federal;V;F;CL;5850
Vétéran Homme Arc Classique;2012;Federal;V;H;CL;5851
Super Vétéran Femme Arc Classique;2012;Federal;SV;F;CL;5852
Super Vétéran Homme Arc Classique;2012;Federal;SV;H;CL;5853
Junior Femme Arc à Poulies;2012;Federal;J;F;CO;5855
Junior Homme Arc à Poulies;2012;Federal;J;H;CO;5854
Senior Femme Arc à Poulies;2012;Federal;S;F;CO;5856
Senior Homme Arc à Poulies;2012;Federal;S;H;CO;5857
Vétéran Femme Arc à Poulies;2012;Federal;V;F;CO;5858
Vétéran Homme Arc à Poulies;2012;Federal;V;H;CO;5859
Super Vétéran Femme Arc à Poulies;2012;Federal;SV;F;CO;5860
Super Vétéran Homme Arc à Poulies;2012;Federal;SV;H;CO;5861
Cadet Femme Bare Bow;2012;Campagne;C;F;BB;5832
Cadet Homme Bare bow;2012;Campagne;C;H;BB;5838
Junior Femme Bare Bow;2012;Campagne;J;F;BB;5808
Junior Homme Bare Bow;2012;Campagne;J;H;BB;5809
Vétéran Femme Bare Bow;2012;Campagne;V;F;BB;5812
Vétéran Homme Bare Bow;2012;Campagne;V;H;BB;5813
Scratch Femme Bare Bow;2012;Campagne;SC;F;BB;5962
Scratch Homme Bare Bow;2012;Campagne;SC;H;BB;5963
Benjamin Femme Arc Classique;2012;Campagne;B;F;CL;5814
Benjamin Homme Arc Classique;2012;Campagne;B;H;CL;5815
Minime Femme Arc Classique;2012;Campagne;M;F;CL;5816
Minime Homme Arc Classique;2012;Campagne;M;H;CL;5817
Cadet Femme Arc Classique;2012;Campagne;C;F;CL;5818
Cadet Homme Arc Classique;2012;Campagne;C;H;CL;5819
Junior Femme Arc Classique;2012;Campagne;J;F;CL;5820
Junior Homme Arc Classique;2012;Campagne;J;H;CL;5821
Vétéran Femme Arc Classique;2012;Campagne;V;F;CL;5824
Vétéran Homme Arc Classique;2012;Campagne;V;H;CL;5825
Scratch Femme Classique;2012;Campagne;SC;F;CL;5964
Scratch Homme Classique;2012;Campagne;SC;H;CL;5965
Junior Femme Arc à Poulies;2012;Campagne;J;F;CO;5826
Junior Homme Arc à Poulies;2012;Campagne;J;H;CO;5827
Vétéran Femme Arc à Poulies;2012;Campagne;V;F;CO;5830
Vétéran Homme Arc à Poulies;2012;Campagne;V;H;CO;5831
Scratch Femme Poulies;2012;Campagne;SC;F;CO;5966
Scratch Homme Poulies;2012;Campagne;SC;H;CO;5967
Benjamin Femme Bare Bow;2012;Nature;B;F;BB;5897
Benjamin Homme Bare Bow;2012;Nature;B;H;BB;5898
Minime Femme Bare Bow;2012;Nature;M;F;BB;5899
Minime Homme Bare Bow;2012;Nature;M;H;BB;5900
Cadet Femme Bare Bow;2012;Nature;C;F;BB;5901
Cadet Homme Bare Bow;2012;Nature;C;H;BB;5902
Junior Femme Bare Bow;2012;Nature;J;F;BB;5903
Junior Homme Bare Bow;2012;Nature;J;H;BB;5904
Senior Femme Bare Bow;2012;Nature;S;F;BB;5905
Senior Homme Bare Bow;2012;Nature;S;H;BB;5906
Vétéran Femme Bare Bow;2012;Nature;V;F;BB;5907
Vétéran Homme Bare Bow;2012;Nature;V;H;BB;5908
Junior Femme Arc Droit;2012;Nature;J;F;AD;5936
Junior Homme Arc Droit;2012;Nature;J;H;AD;5937
Senior Femme Arc Droit;2012;Nature;S;F;AD;5909
Senior Homme Arc Droit;2012;Nature;S;H;AD;5910
Vétéran Homme Arc Droit;2012;Nature;V;H;AD;6053
Vétéran Femme Arc Droit;2012;Nature;V;F;AD;6052
Junior Femme Arc Chasse;2012;Nature;J;F;AC;5944
Junior Homme Arc Chasse;2012;Nature;J;H;AC;5945
Senior Femme Arc Chasse;2012;Nature;S;F;AC;5911
Senior Homme Arc Chasse;2012;Nature;S;H;AC;5912
Vétéran Femme Arc Chasse;2012;Nature;V;F;AC;6054
Vétéran Homme Arc Chasse;2012;Nature;V;H;AC;6055
Junior Femme Arc Libre;2012;Nature;J;F;AL;5913
Junior Homme Arc Libre;2012;Nature;J;H;AL;5914
Senior Femme Arc Libre;2012;Nature;S;F;AL;5915
Senior Homme Arc Libre;2012;Nature;S;H;AL;5916
Vétéran Homme Arc Libre;2012;Nature;V;H;AL;6057
Vétéran Femme Arc  Libre;2012;Nature;V;F;AL;6056
Minime Femme Arc à Poulies Nu;2012;Nature;M;F;PN;5919
Minime Homme Arc à Poulies Nu;2012;Nature;M;H;PN;5920
Cadet Femme Arc à Poulies Nu;2012;Nature;C;F;PN;5921
Cadet Homme Arc à Poulies Nu;2012;Nature;C;H;PN;5922
Junior Femme Arc à Poulies Nu;2012;Nature;J;F;PN;5923
Junior Homme Arc à Poulies Nu;2012;Nature;J;H;PN;5924
Senior Femme Arc à Poulies Nu;2012;Nature;S;F;PN;5925
Senior Homme Arc à Poulies Nu;2012;Nature;S;H;PN;5926
Vétéran Homme Arc à Poulies Nu;2012;Nature;V;H;PN;5928
Vétéran Femme Arc à Poulies Nu;2012;Nature;V;F;PN;5927
Jeune Homme Bare Bow;2012;Salle;JE;H;BB;6067
Jeune Femme Bare Bow;2012;Salle;JE;F;BB;6065
Scratch Femme Bare Bow;2012;Salle;SC;F;BB;5450
Scratch Homme Bare Bow;2012;Salle;SC;H;BB;5449
Benjamin Femme Classique;2012;Salle;B;F;CL;5451
Benjamin Homme Classique;2012;Salle;B;H;CL;5452
Minime Femme Classique;2012;Salle;M;F;CL;5453
Minime Homme Classique;2012;Salle;M;H;CL;5454
Cadet Femme Classique;2012;Salle;C;F;CL;5455
Cadet Homme Classique;2012;Salle;C;H;CL;5456
Junior Femme Classique;2012;Salle;J;F;CL;5457
Junior Homme Classique;2012;Salle;J;H;CL;5458
Senior Femme Classique;2012;Salle;S;F;CL;5459
Senior Homme Classique;2012;Salle;S;H;CL;5460
Vétéran Femme Classique;2012;Salle;V;F;CL;5461
Vétéran Homme Classique;2012;Salle;V;H;CL;5462
Super Vétéran Femme Classique;2012;Salle;SV;F;CL;5463
Super Vétéran Homme Classique;2012;Salle;SV;H;CL;5464
Junior Femme Poulies;2012;Salle;J;F;CO;5465
Junior Homme Poulies;2012;Salle;J;H;CO;5466
Senior Femme Poulies;2012;Salle;S;F;CO;5467
Senior Homme Poulies;2012;Salle;S;H;CO;5468
Vétéran Femme Poulies;2012;Salle;V;F;CO;5469
Vétéran Homme Poulies;2012;Salle;V;H;CO;5470
Super Vétéran Femme Poulies;2012;Salle;SV;F;CO;5471
Super Vétéran Homme Poulies;2012;Salle;SV;H;CO;5472
Benjamin Femme Arc classique;2012;Fita;B;F;CL;5871
Benjamin Homme Arc classique;2012;Fita;B;H;CL;5872
Minime Femme Arc classique;2012;Fita;M;F;CL;5873
Minime Homme Arc classique;2012;Fita;M;H;CL;5874
Cadet Femme Arc classique;2012;Fita;C;F;CL;5875
Cadet Homme Arc classique;2012;Fita;C;H;CL;5876
Junior Femme Arc classique;2012;Fita;J;F;CL;5877
Junior Homme Arc classique;2012;Fita;J;H;CL;5878
Vétéran Femme Arc classique;2012;Fita;V;F;CL;5881
Vétéran Homme Arc classique;2012;Fita;V;H;CL;5882
Super Vétéran Femme Arc classique;2012;Fita;SV;F;CL;5883
Super Vétéran Homme Arc classique;2012;Fita;SV;H;CL;5884
Scratch Femme Classique;2012;Fita;SC;F;CL;5968
Scratch Homme Classique;2012;Fita;SC;H;CL;5969
Cadet Femme Arc a poulies;2012;Fita;C;F;CO;5896
Cadet Homme Arc a poulies;2012;Fita;C;H;CO;5893
Junior Femme Arc à Poulies;2012;Fita;J;F;CO;5885
Junior Homme Arc à Poulies;2012;Fita;J;H;CO;5886
Vétéran Femme Arc à Poulies;2012;Fita;V;F;CO;5889
Vétéran Homme Arc à Poulies;2012;Fita;V;H;CO;5890
Super Vétéran Femme Arc à Poulies;2012;Fita;SV;F;CO;5891
Super Vétéran Homme Arc à Poulies;2012;Fita;SV;H;CO;5892
Scratch Femme Poulies;2012;Fita;SC;F;CO;5970
Scratch Homme Poulies;2012;Fita;SC;H;CO;5971
Benjamin Femme Bare Bow;2012;3D;B;F;BB;5744
Benjamin Homme Bare Bow;2012;3D;B;H;BB;5745
Minime Femme Bare Bow;2012;3D;M;F;BB;5746
Minime Homme Bare Bow;2012;3D;M;H;BB;5747
Cadet Femme Bare Bow;2012;3D;C;F;BB;5748
Cadet Homme Bare Bow;2012;3D;C;H;BB;5749
Junior Femme Bare Bow;2012;3D;J;F;BB;5750
Junior Homme Bare Bow;2012;3D;J;H;BB;5751
Senior Femme Bare Bow;2012;3D;S;F;BB;5752
Senior Homme Bare Bow;2012;3D;S;H;BB;5753
Vétéran Femme Bare Bow;2012;3D;V;F;BB;5754
Vétéran Homme Bare Bow;2012;3D;V;H;BB;5755
Junior Femme Arc Droit;2012;3D;J;F;AD;5786
Junior Homme Arc Droit;2012;3D;J;H;AD;5787
Senior Femme Arc Droit;2012;3D;S;F;AD;5756
Senior Homme Arc Droit;2012;3D;S;H;AD;5757
Vétéran Femme Arc droit;2012;3D;V;F;AD;6022
Vétéran Homme Arc droit;2012;3D;V;H;AD;6023
Junior Femme Arc Chasse;2012;3D;J;F;AC;5796
Junior Homme Arc Chasse;2012;3D;J;H;AC;5797
Senior Femme Arc Chasse;2012;3D;S;F;AC;5758
Senior Homme Arc Chasse;2012;3D;S;H;AC;5759
Vétéran Femme Arc Chasse;2012;3D;V;F;AC;6024
Vétéran Homme Arc Chasse;2012;3D;V;H;AC;6025
Junior Femme Arc Libre;2012;3D;J;F;AL;5760
Junior Homme Arc Libre;2012;3D;J;H;AL;5761
Senior Femme Arc Libre;2012;3D;S;F;AL;5762
Senior Homme Arc Libre;2012;3D;S;H;AL;5763
Vétéran Femme Arc libre;2012;3D;V;F;AL;6026
Vétéran Homme Arc libre;2012;3D;V;H;AL;6028
Minime Femme Arc à Poulies Nu;2012;3D;M;F;PN;5766
Minime Homme Arc à Poulies Nu;2012;3D;M;H;PN;5767
Cadet Femme Arc à Poulies Nu;2012;3D;C;F;PN;5768
Cadet Homme Arc à Poulies Nu;2012;3D;C;H;PN;5769
Junior Femme Arc à Poulies Nu;2012;3D;J;F;PN;5770
Junior Homme Arc à Poulies Nu;2012;3D;J;H;PN;5771
Senior Femme Arc à Poulies Nu;2012;3D;S;F;PN;5772
Senior Homme Arc à Poulies Nu;2012;3D;S;H;PN;5773
Vétéran Femme Arc à Poulies Nu;2012;3D;V;F;PN;5774
Vétéran Homme Arc à Poulies Nu;2012;3D;V;H;PN;5775
Benjamin Femme Arc Classique;2013;Federal;B;F;CL;6563
Benjamin Homme Arc Classique;2013;Federal;B;H;CL;6564
Minime Femme Arc Classique;2013;Federal;M;F;CL;6565
Minime Homme Arc Classique;2013;Federal;M;H;CL;6566
Cadet Femme Arc Classique;2013;Federal;C;F;CL;6567
Cadet Homme Arc Classique;2013;Federal;C;H;CL;6568
Junior Femme Arc Classique;2013;Federal;J;F;CL;6569
Junior Homme Arc Classique;2013;Federal;J;H;CL;6570
Senior Femme Arc Classique;2013;Federal;S;F;CL;6571
Senior Homme Arc Classique;2013;Federal;S;H;CL;6572
Vétéran Femme Arc Classique;2013;Federal;V;F;CL;6573
Vétéran Homme Arc Classique;2013;Federal;V;H;CL;6574
Super Vétéran Femme Arc Classique;2013;Federal;SV;F;CL;6575
Super Vétéran Homme Arc Classique;2013;Federal;SV;H;CL;6576
Cadet Femme Arc à poulies;2013;Federal;C;F;CO;6594
Cadet Homme Arc à poulies;2013;Federal;C;H;CO;6596
Junior Femme Arc à Poulies;2013;Federal;J;F;CO;6578
Junior Homme Arc à Poulies;2013;Federal;J;H;CO;6577
Senior Femme Arc à Poulies;2013;Federal;S;F;CO;6579
Senior Homme Arc à Poulies;2013;Federal;S;H;CO;6580
Vétéran Femme Arc à Poulies;2013;Federal;V;F;CO;6581
Vétéran Homme Arc à Poulies;2013;Federal;V;H;CO;6582
Super Vétéran Femme Arc à Poulies;2013;Federal;SV;F;CO;6583
Super Vétéran Homme Arc à Poulies;2013;Federal;SV;H;CO;6584
Cadet Femme Bare Bow;2013;Campagne;C;F;BB;6553
Cadet Homme Bare bow;2013;Campagne;C;H;BB;6559
Junior Femme Bare Bow;2013;Campagne;J;F;BB;6529
Junior Homme Bare Bow;2013;Campagne;J;H;BB;6530
Vétéran Femme Bare Bow;2013;Campagne;V;F;BB;6533
Vétéran Homme Bare Bow;2013;Campagne;V;H;BB;6534
Scratch Femme Bare Bow;2013;Campagne;SC;F;BB;6710
Scratch Homme Bare Bow;2013;Campagne;SC;H;BB;6711
Benjamin Femme Arc Classique;2013;Campagne;B;F;CL;6535
Benjamin Homme Arc Classique;2013;Campagne;B;H;CL;6536
Minime Femme Arc Classique;2013;Campagne;M;F;CL;6537
Minime Homme Arc Classique;2013;Campagne;M;H;CL;6538
Cadet Femme Arc Classique;2013;Campagne;C;F;CL;6539
Cadet Homme Arc Classique;2013;Campagne;C;H;CL;6540
Junior Femme Arc Classique;2013;Campagne;J;F;CL;6541
Junior Homme Arc Classique;2013;Campagne;J;H;CL;6542
Vétéran Femme Arc Classique;2013;Campagne;V;F;CL;6545
Vétéran Homme Arc Classique;2013;Campagne;V;H;CL;6546
Scratch Femme Classique;2013;Campagne;SC;F;CL;6712
Scratch Homme Classique;2013;Campagne;SC;H;CL;6713
Junior Femme Arc à Poulies;2013;Campagne;J;F;CO;6547
Junior Homme Arc à Poulies;2013;Campagne;J;H;CO;6548
Vétéran Femme Arc à Poulies;2013;Campagne;V;F;CO;6551
Vétéran Homme Arc à Poulies;2013;Campagne;V;H;CO;6552
Scratch Femme Poulies;2013;Campagne;SC;F;CO;6714
Scratch Homme Poulies;2013;Campagne;SC;H;CO;6715
Benjamin Femme Bare Bow;2013;Nature;B;F;BB;6627
Benjamin Homme Bare Bow;2013;Nature;B;H;BB;6628
Minime Femme Bare Bow;2013;Nature;M;F;BB;6629
Minime Homme Bare Bow;2013;Nature;M;H;BB;6630
Cadet Femme Bare Bow;2013;Nature;C;F;BB;6631
Cadet Homme Bare Bow;2013;Nature;C;H;BB;6632
Junior Femme Bare Bow;2013;Nature;J;F;BB;6633
Junior Homme Bare Bow;2013;Nature;J;H;BB;6634
Senior Femme Bare Bow;2013;Nature;S;F;BB;6635
Senior Homme Bare Bow;2013;Nature;S;H;BB;6636
Vétéran Femme Bare Bow;2013;Nature;V;F;BB;6637
Vétéran Homme Bare Bow;2013;Nature;V;H;BB;6638
Junior Femme Arc Droit;2013;Nature;J;F;AD;6666
Junior Homme Arc Droit;2013;Nature;J;H;AD;6667
Senior Femme Arc Droit;2013;Nature;S;F;AD;6639
Senior Homme Arc Droit;2013;Nature;S;H;AD;6640
Vétéran Homme Arc Droit;2013;Nature;V;H;AD;6686
Vétéran Femme Arc Droit;2013;Nature;V;F;AD;6685
Junior Femme Arc Chasse;2013;Nature;J;F;AC;6674
Junior Homme Arc Chasse;2013;Nature;J;H;AC;6675
Senior Femme Arc Chasse;2013;Nature;S;F;AC;6641
Senior Homme Arc Chasse;2013;Nature;S;H;AC;6642
Vétéran Femme Arc Chasse;2013;Nature;V;F;AC;6687
Vétéran Homme Arc Chasse;2013;Nature;V;H;AC;6688
Cadet Femme Arc Libre;2013;Nature;C;F;AL;6680
Cadet Homme Arc Libre;2013;Nature;C;H;AL;6681
Junior Femme Arc Libre;2013;Nature;J;F;AL;6643
Junior Homme Arc Libre;2013;Nature;J;H;AL;6644
Senior Femme Arc Libre;2013;Nature;S;F;AL;6645
Senior Homme Arc Libre;2013;Nature;S;H;AL;6646
Vétéran Femme Arc  Libre;2013;Nature;V;F;AL;6689
Vétéran Homme Arc Libre;2013;Nature;V;H;AL;6690
Junior Femme Arc à Poulies Nu;2013;Nature;J;F;PN;6653
Junior Homme Arc à Poulies Nu;2013;Nature;J;H;PN;6654
Senior Femme Arc à Poulies Nu;2013;Nature;S;F;PN;6655
Senior Homme Arc à Poulies Nu;2013;Nature;S;H;PN;6656
Vétéran Femme Arc à Poulies Nu;2013;Nature;V;F;PN;6657
Vétéran Homme Arc à Poulies Nu;2013;Nature;V;H;PN;6658
Cadet Femme Bare Bow;2013;Salle;C;F;BB;6143
Cadet Homme Bare Bow;2013;Salle;C;H;BB;6144
Scratch Femme Bare Bow;2013;Salle;SC;F;BB;6111
Scratch Homme Bare Bow;2013;Salle;SC;H;BB;6110
Benjamin Femme Classique;2013;Salle;B;F;CL;6112
Benjamin Homme Classique;2013;Salle;B;H;CL;6113
Minime Femme Classique;2013;Salle;M;F;CL;6114
Minime Homme Classique;2013;Salle;M;H;CL;6115
Cadet Femme Classique;2013;Salle;C;F;CL;6116
Cadet Homme Classique;2013;Salle;C;H;CL;6117
Junior Femme Classique;2013;Salle;J;F;CL;6118
Junior Homme Classique;2013;Salle;J;H;CL;6119
Senior Femme Classique;2013;Salle;S;F;CL;6120
Senior Homme Classique;2013;Salle;S;H;CL;6121
Vétéran Femme Classique;2013;Salle;V;F;CL;6122
Vétéran Homme Classique;2013;Salle;V;H;CL;6123
Super Vétéran Femme Classique;2013;Salle;SV;F;CL;6124
Super Vétéran Homme Classique;2013;Salle;SV;H;CL;6125
Cadet Femme Arc à poulies;2013;Salle;C;F;CO;6141
Cadet Homme Arc à poulies;2013;Salle;C;H;CO;6142
Junior Femme Poulies;2013;Salle;J;F;CO;6126
Junior Homme Poulies;2013;Salle;J;H;CO;6127
Senior Femme Poulies;2013;Salle;S;F;CO;6128
Senior Homme Poulies;2013;Salle;S;H;CO;6129
Vétéran Femme Poulies;2013;Salle;V;F;CO;6130
Vétéran Homme Poulies;2013;Salle;V;H;CO;6131
Super Vétéran Femme Poulies;2013;Salle;SV;F;CO;6132
Super Vétéran Homme Poulies;2013;Salle;SV;H;CO;6133
Benjamin Femme Arc classique;2013;Fita;B;F;CL;6600
Benjamin Homme Arc classique;2013;Fita;B;H;CL;6601
Minime Femme Arc classique;2013;Fita;M;F;CL;6602
Minime Homme Arc classique;2013;Fita;M;H;CL;6603
Cadet Femme Arc classique;2013;Fita;C;F;CL;6604
Cadet Homme Arc classique;2013;Fita;C;H;CL;6605
Junior Femme Arc classique;2013;Fita;J;F;CL;6606
Junior Homme Arc classique;2013;Fita;J;H;CL;6607
Vétéran Femme Arc classique;2013;Fita;V;F;CL;6610
Vétéran Homme Arc classique;2013;Fita;V;H;CL;6611
Super Vétéran Femme Arc classique;2013;Fita;SV;F;CL;6612
Super Vétéran Homme Arc classique;2013;Fita;SV;H;CL;6613
Scratch Femme Classique;2013;Fita;SC;F;CL;6716
Scratch Homme Classique;2013;Fita;SC;H;CL;6717
Cadet Femme Arc a poulies;2013;Fita;C;F;CO;6625
Cadet Homme Arc a poulies;2013;Fita;C;H;CO;6622
Junior Femme Arc à Poulies;2013;Fita;J;F;CO;6614
Junior Homme Arc à Poulies;2013;Fita;J;H;CO;6615
Vétéran Femme Arc à Poulies;2013;Fita;V;F;CO;6618
Vétéran Homme Arc à Poulies;2013;Fita;V;H;CO;6619
Super Vétéran Femme Arc à Poulies;2013;Fita;SV;F;CO;6620
Super Vétéran Homme Arc à Poulies;2013;Fita;SV;H;CO;6621
Scratch Femme Poulies;2013;Fita;SC;F;CO;6718
Scratch Homme Poulies;2013;Fita;SC;H;CO;6719
Benjamin Femme Bare Bow;2013;3D;B;F;BB;6459
Benjamin Homme Bare Bow;2013;3D;B;H;BB;6460
Minime Femme Bare Bow;2013;3D;M;F;BB;6461
Minime Homme Bare Bow;2013;3D;M;H;BB;6462
Cadet Femme Bare Bow;2013;3D;C;F;BB;6463
Cadet Homme Bare Bow;2013;3D;C;H;BB;6464
Junior Femme Bare Bow;2013;3D;J;F;BB;6465
Junior Homme Bare Bow;2013;3D;J;H;BB;6466
Senior Femme Bare Bow;2013;3D;S;F;BB;6467
Senior Homme Bare Bow;2013;3D;S;H;BB;6468
Vétéran Femme Bare Bow;2013;3D;V;F;BB;6469
Vétéran Homme Bare Bow;2013;3D;V;H;BB;6470
Junior Femme Arc Droit;2013;3D;J;F;AD;6501
Junior Homme Arc Droit;2013;3D;J;H;AD;6502
Senior Femme Arc Droit;2013;3D;S;F;AD;6471
Senior Homme Arc Droit;2013;3D;S;H;AD;6472
Vétéran Femme Arc droit;2013;3D;V;F;AD;6523
Vétéran Homme Arc droit;2013;3D;V;H;AD;6524
Junior Femme Arc Chasse;2013;3D;J;F;AC;6511
Junior Homme Arc Chasse;2013;3D;J;H;AC;6512
Senior Femme Arc Chasse;2013;3D;S;F;AC;6473
Senior Homme Arc Chasse;2013;3D;S;H;AC;6474
Vétéran Femme Arc Chasse;2013;3D;V;F;AC;6525
Vétéran Homme Arc Chasse;2013;3D;V;H;AC;6526
Cadet Femme Arc Libre;2013;3D;C;F;AL;6519
Cadet Homme Arc Libre;2013;3D;C;H;AL;6520
Junior Femme Arc Libre;2013;3D;J;F;AL;6475
Junior Homme Arc Libre;2013;3D;J;H;AL;6476
Senior Femme Arc Libre;2013;3D;S;F;AL;6477
Senior Homme Arc Libre;2013;3D;S;H;AL;6478
Vétéran Femme Arc libre;2013;3D;V;F;AL;6527
Vétéran Homme Arc libre;2013;3D;V;H;AL;6528
Junior Femme Arc à Poulies Nu;2013;3D;J;F;PN;6485
Junior Homme Arc à Poulies Nu;2013;3D;J;H;PN;6486
Senior Femme Arc à Poulies Nu;2013;3D;S;F;PN;6487
Senior Homme Arc à Poulies Nu;2013;3D;S;H;PN;6488
Vétéran Homme Arc à Poulies Nu;2013;3D;V;H;PN;6490
Vétéran Femme Arc à Poulies Nu;2013;3D;V;F;PN;6489
Benjamin Femme Arc Classique;2014;Federal;B;F;CL;7213
Benjamin Homme Arc Classique;2014;Federal;B;H;CL;7214
Minime Femme Arc Classique;2014;Federal;M;F;CL;7215
Minime Homme Arc Classique;2014;Federal;M;H;CL;7216
Cadet Femme Arc Classique;2014;Federal;C;F;CL;7217
Cadet Homme Arc Classique;2014;Federal;C;H;CL;7218
Junior Femme Arc Classique;2014;Federal;J;F;CL;7219
Junior Homme Arc Classique;2014;Federal;J;H;CL;7220
Senior Femme Arc Classique;2014;Federal;S;F;CL;7221
Senior Homme Arc Classique;2014;Federal;S;H;CL;7222
Vétéran Femme Arc Classique;2014;Federal;V;F;CL;7223
Vétéran Homme Arc Classique;2014;Federal;V;H;CL;7224
Super Vétéran Femme Arc Classique;2014;Federal;SV;F;CL;7225
Super Vétéran Homme Arc Classique;2014;Federal;SV;H;CL;7226
Cadet Femme Arc à poulies;2014;Federal;C;F;CO;7244
Cadet Homme Arc à poulies;2014;Federal;C;H;CO;7246
Junior Femme Arc à Poulies;2014;Federal;J;F;CO;7228
Junior Homme Arc à Poulies;2014;Federal;J;H;CO;7227
Senior Femme Arc à Poulies;2014;Federal;S;F;CO;7229
Senior Homme Arc à Poulies;2014;Federal;S;H;CO;7230
Vétéran Femme Arc à Poulies;2014;Federal;V;F;CO;7231
Vétéran Homme Arc à Poulies;2014;Federal;V;H;CO;7232
Super Vétéran Femme Arc à Poulies;2014;Federal;SV;F;CO;7233
Super Vétéran Homme Arc à Poulies;2014;Federal;SV;H;CO;7234
Cadet Femme Bare Bow;2014;Campagne;C;F;BB;7206
Cadet Homme Bare bow;2014;Campagne;C;H;BB;7212
Junior Femme Bare Bow;2014;Campagne;J;F;BB;7182
Junior Homme Bare Bow;2014;Campagne;J;H;BB;7183
Vétéran Femme Bare Bow;2014;Campagne;V;F;BB;7186
Vétéran Homme Bare Bow;2014;Campagne;V;H;BB;7187
Scratch Femme Bare Bow;2014;Campagne;SC;F;BB;7354
Scratch Homme Bare Bow;2014;Campagne;SC;H;BB;7355
Benjamin Femme Arc Classique;2014;Campagne;B;F;CL;7188
Benjamin Homme Arc Classique;2014;Campagne;B;H;CL;7189
Minime Femme Arc Classique;2014;Campagne;M;F;CL;7190
Minime Homme Arc Classique;2014;Campagne;M;H;CL;7191
Cadet Femme Arc Classique;2014;Campagne;C;F;CL;7192
Cadet Homme Arc Classique;2014;Campagne;C;H;CL;7193
Junior Femme Arc Classique;2014;Campagne;J;F;CL;7194
Junior Homme Arc Classique;2014;Campagne;J;H;CL;7195
Vétéran Femme Arc Classique;2014;Campagne;V;F;CL;7198
Vétéran Homme Arc Classique;2014;Campagne;V;H;CL;7199
Scratch Femme Classique;2014;Campagne;SC;F;CL;7356
Scratch Homme Classique;2014;Campagne;SC;H;CL;7357
Junior Femme Arc à Poulies;2014;Campagne;J;F;CO;7200
Junior Homme Arc à Poulies;2014;Campagne;J;H;CO;7201
Vétéran Femme Arc à Poulies;2014;Campagne;V;F;CO;7204
Vétéran Homme Arc à Poulies;2014;Campagne;V;H;CO;7205
Scratch Femme Poulies;2014;Campagne;SC;F;CO;7358
Scratch Homme Poulies;2014;Campagne;SC;H;CO;7359
Benjamin Femme Bare Bow;2014;Nature;B;F;BB;7277
Benjamin Homme Bare Bow;2014;Nature;B;H;BB;7278
Minime Femme Bare Bow;2014;Nature;M;F;BB;7279
Minime Homme Bare Bow;2014;Nature;M;H;BB;7280
Cadet Femme Bare Bow;2014;Nature;C;F;BB;7281
Cadet Homme Bare Bow;2014;Nature;C;H;BB;7282
Junior Femme Bare Bow;2014;Nature;J;F;BB;7283
Junior Homme Bare Bow;2014;Nature;J;H;BB;7284
Senior Femme Bare Bow;2014;Nature;S;F;BB;7285
Senior Homme Bare Bow;2014;Nature;S;H;BB;7286
Vétéran Femme Bare Bow;2014;Nature;V;F;BB;7287
Vétéran Homme Bare Bow;2014;Nature;V;H;BB;7288
Junior Femme Arc Droit;2014;Nature;J;F;AD;7312
Junior Homme Arc Droit;2014;Nature;J;H;AD;7313
Senior Femme Arc Droit;2014;Nature;S;F;AD;7289
Senior Homme Arc Droit;2014;Nature;S;H;AD;7290
Vétéran Femme Arc Droit;2014;Nature;V;F;AD;7329
Vétéran Homme Arc Droit;2014;Nature;V;H;AD;7330
Junior Femme Arc Chasse;2014;Nature;J;F;AC;7318
Junior Homme Arc Chasse;2014;Nature;J;H;AC;7319
Senior Femme Arc Chasse;2014;Nature;S;F;AC;7291
Senior Homme Arc Chasse;2014;Nature;S;H;AC;7292
Vétéran Femme Arc Chasse;2014;Nature;V;F;AC;7331
Vétéran Homme Arc Chasse;2014;Nature;V;H;AC;7332
Cadet Femme Arc Libre;2014;Nature;C;F;AL;7324
Cadet Homme Arc Libre;2014;Nature;C;H;AL;7325
Junior Femme Arc Libre;2014;Nature;J;F;AL;7293
Junior Homme Arc Libre;2014;Nature;J;H;AL;7294
Senior Femme Arc Libre;2014;Nature;S;F;AL;7295
Senior Homme Arc Libre;2014;Nature;S;H;AL;7296
Vétéran Femme Arc  Libre;2014;Nature;V;F;AL;7333
Vétéran Homme Arc Libre;2014;Nature;V;H;AL;7334
Junior Femme Arc à Poulies Nu;2014;Nature;J;F;PN;7301
Junior Homme Arc à Poulies Nu;2014;Nature;J;H;PN;7302
Senior Femme Arc à Poulies Nu;2014;Nature;S;F;PN;7303
Senior Homme Arc à Poulies Nu;2014;Nature;S;H;PN;7304
Vétéran Femme Arc à Poulies Nu;2014;Nature;V;F;PN;7305
Vétéran Homme Arc à Poulies Nu;2014;Nature;V;H;PN;7306
Cadet Homme Bare Bow;2014;Salle;C;H;BB;6825
Cadet Femme Bare Bow;2014;Salle;C;F;BB;6824
Scratch Femme Bare Bow;2014;Salle;SC;F;BB;6792
Scratch Homme Bare Bow;2014;Salle;SC;H;BB;6791
Benjamin Femme Classique;2014;Salle;B;F;CL;6793
Benjamin Homme Classique;2014;Salle;B;H;CL;6794
